,ra,dec,label
34607,307.861574,-42.86057,1
19959,55.311248,-35.450951,1
18061,70.154257,-22.550645000000003,1
36714,28.525708,-14.222304999999999,1
19711,18.199248,-23.853475,0
39778,36.481979,-24.703741,0
31820,78.35606700000001,-30.096253,0
34187,347.620614,-49.747659000000006,1
35582,84.991013,-41.020216,0
5203,66.367644,-62.846610999999996,1
15397,54.153385,-37.36541,1
6524,83.37113599999998,-38.815893,0
31128,19.93242,-15.973339999999999,1
27662,7.980839,2.428204,0
17120,71.12369199999998,-60.27444499999999,0
12087,73.516791,-56.489343000000005,1
1185,322.336773,-56.495288,1
1882,10.742328,-5.828375,1
15350,86.889302,-19.666222,0
33284,59.143348,-35.553526,0
18369,49.69209,-35.546123,0
29876,31.894597,2.1424000000000003,0
23315,333.65187000000003,-0.23717199999999997,1
24024,309.25879,-48.570235,0
3819,93.899636,-56.093118000000004,0
3634,34.141357,-23.373263,1
14090,35.748277,0.383283,1
16526,12.654569,-32.421561,1
27362,63.482429,-25.595662,0
14100,353.852606,-40.728155,1
2658,334.95735099999996,0.940392,1
33555,50.553846,-12.936747,0
24142,46.783105,-31.263115999999997,0
29693,334.37484,-1.294699,1
1401,47.597764,-39.626684999999995,1
18612,40.461393,-4.674144,0
21310,359.522077,-4.083158999999999,0
37356,73.19416899999999,-52.245521999999994,0
22111,93.169988,-57.797984,1
30198,52.99196800000001,-54.887296,0
7886,40.362341,-44.015377,0
25941,4.226153,-52.793984,0
7377,90.779288,-36.435348,1
29034,45.527436,-37.615196999999995,1
26098,29.007996999999996,-13.818375,1
167,6.06088,-53.24979200000001,1
16993,353.71747400000004,-40.447264000000004,0
26291,332.565738,-63.983574,0
2813,56.334625,-22.535241,1
16348,30.657105,-1.4246020000000001,0
19808,50.646993,-36.500308000000004,0
6863,59.265381000000005,-23.262979,1
10295,81.62866899999999,-47.757540999999996,1
27792,351.127823,0.549237,1
39227,40.374419,-48.92362,0
929,2.4359919999999997,4.666257,1
27371,42.539496,-46.211676000000004,0
4741,8.49376,-1.83918,1
16959,41.647667,-3.3492319999999998,1
34772,27.487521,-53.220385,1
27196,354.44598199999996,-46.846646,0
27476,50.843734000000005,-64.436287,1
25123,33.9395,-15.068923000000002,0
33762,14.981418,-34.832994,0
11686,9.441519,-27.588329,0
34462,48.437047,-14.530979,1
10671,349.600705,-42.340692,0
37273,318.081902,-47.344885999999995,1
3730,44.015838,-50.617792,1
10698,331.03855,-59.97489100000001,1
32140,11.884543,-56.129127000000004,0
36171,60.42694399999999,-41.446795,1
18750,63.480048,-33.219397,0
8114,53.90965,-18.914838,1
27166,336.964931,-43.587226,0
33635,8.786921999999999,1.911494,0
23455,78.23745,-41.511936999999996,1
14976,71.275571,-49.614862,0
19121,91.0431,-30.149921999999997,0
39883,338.00501,-63.858766,0
23520,37.142368,-29.432302000000004,1
27693,332.064128,-59.10221,0
12323,15.644687,-47.836890999999994,1
7894,15.062564000000002,-45.013651,0
33018,72.160893,-55.557297,0
5039,340.81764,-2.035921,0
15634,314.61645,-45.280342,0
3136,23.018675,5.04645,0
38276,89.01551599999998,-27.172446,0
30694,27.371752,-12.725937,1
8815,331.06897999999995,-43.903134,1
12846,76.700277,-28.265690000000003,1
3164,31.530524,-32.449011999999996,1
7413,330.92323999999996,-46.138527,0
26821,61.132374,-23.397433,1
17603,34.621453,-43.135767,1
17850,336.262542,-51.798375,0
30452,60.484927,-29.158537,0
4689,15.352988,-59.57486899999999,1
10869,19.001307,-53.957072,0
4510,34.187511,-41.371132,1
37308,36.182716,-7.954165,0
26746,7.253201,-32.961465999999994,1
12362,37.163114,-64.906131,0
14418,56.282637,-17.458923000000002,1
9698,26.421318,-40.972891,0
14360,76.885288,-41.040854,0
18701,73.84864499999999,-19.859039000000003,1
5223,83.82500300000001,-18.924071,0
5562,332.372188,-47.270169,0
5029,20.27392,-26.773253000000004,0
29978,304.97539700000004,-60.906024,1
35494,318.659194,-47.175781,0
16283,11.122605,-21.621064,0
7809,66.20736,-64.732799,1
31938,64.46536400000001,-61.239738,0
5479,33.134332,5.037208000000001,1
312,324.81138500000003,1.116554,1
31240,16.603085999999998,-34.201985,0
8226,25.054392,4.429196,1
22329,8.383167,-56.997197,1
37667,37.203103000000006,-0.704336,0
34281,59.709092000000005,-63.44055899999999,1
29161,40.191731,-20.446120999999998,1
24634,19.504821,-44.47205,1
16658,65.626159,-52.243955,0
28456,32.839132,-3.648438,1
38339,299.703826,-55.362635,0
2234,35.054428,-19.749673,0
39107,32.412009000000005,-27.554504,0
26180,19.364359,-57.509418000000004,1
9490,33.131295,-32.715517,0
32491,90.61251700000001,-54.827406999999994,0
6241,321.534538,-48.067801,1
30508,54.543020999999996,-18.573024,1
33153,69.006309,-41.453282,1
2401,339.55562599999996,-59.335319999999996,1
15783,62.089987,-43.07205,0
36445,349.755423,-57.875246,0
24996,332.348859,-51.679976,0
27516,24.681506,-7.209089,1
24490,27.312604999999998,-28.465367999999998,1
17809,48.196689,-49.573563,0
1465,22.827506,-20.852328,0
11894,67.92679,-53.804528000000005,0
38886,57.328691000000006,-18.567518,0
20400,323.30976200000003,-62.784076,0
316,350.518246,-42.530522,1
3402,74.676517,-21.576007,1
5915,359.37316400000003,-38.011858000000004,1
24168,327.05748900000003,-1.5951,1
30305,334.679851,-52.445855,1
35716,318.06120400000003,-52.649009,0
9267,337.472964,-0.38605,1
21693,35.507413,-29.443484,0
21607,8.633204,-55.83203100000001,1
19275,8.860155,-37.364828,1
31770,29.407743,-31.566057,1
9100,329.928275,-1.6299540000000001,1
10631,19.965285,-34.243375,0
6212,307.677128,-43.750508,0
20843,320.141471,-57.42420500000001,1
11215,41.242688,-28.330287,0
35343,71.595298,-54.491624,1
37080,6.805671,1.234656,1
24308,343.63874300000003,-55.421216,1
36690,30.97578,-10.188139,0
22047,4.782943,-63.030855,0
19406,29.050756,-47.777279,1
4946,316.995827,-42.508169,1
32286,47.854073,-10.607319,0
14080,22.548182999999998,2.343299,1
39701,78.988117,-23.849374,0
37660,3.5576260000000004,-7.103008,1
39466,347.509323,1.045095,1
33941,41.078011,-6.421161,0
15042,72.485646,-21.028133,1
33125,40.019636,-44.728971,1
4423,49.102438,-44.612843,1
3538,333.270916,-64.958561,0
1334,31.783716,-52.659876000000004,1
21977,61.209889000000004,-43.643376,0
1059,342.075441,-64.937977,1
13786,27.339931,-13.173635,1
36050,9.70585,-35.502045,1
1722,355.14487599999995,-44.647588,1
20897,42.524792,-31.075947999999997,1
15963,48.134848,-51.342709,0
36713,36.920352,-46.670333,1
1770,8.063895,-5.59397,0
25712,351.27799,0.026248,0
1194,328.044149,-48.34664,1
18797,37.927375,-21.352495,1
25870,91.7191,-49.254138,0
5008,337.31325699999996,-1.3199319999999999,1
8293,342.599847,0.293732,1
26585,315.085235,-61.281245999999996,1
3672,334.41103300000003,-60.118479,0
10776,21.221102,-24.618164,0
32058,315.75383,-49.31916,0
37659,38.563563,-37.376071,0
36709,40.554351000000004,-32.654340999999995,0
15380,35.015065,-0.463232,0
664,359.706321,-39.729945,0
9151,358.870758,-1.668102,0
35892,74.01588799999998,-21.923147,0
37936,315.621356,-41.239681,1
36656,95.107323,-56.951634,0
16685,43.261682,-50.137464,1
18638,32.445678,-16.829552,1
5567,20.146589000000002,3.145421,1
26186,24.543088,-32.846211,0
15719,2.808064,-1.2767680000000001,1
5120,93.128411,-61.416753,0
22281,56.613202,-20.604785,0
9580,16.004234,-0.871898,1
33695,329.546987,-56.401540000000004,0
21093,72.243939,-23.726013000000002,0
5243,92.022653,-46.091382,0
13335,32.466112,-25.241372,1
26076,38.316466,-27.752936,1
9614,51.435396000000004,-21.949942999999998,1
32945,35.346081,-12.671759,0
14338,38.910152000000004,-22.957992,0
20168,26.532844,-46.235837,0
11022,4.316334,-32.514184,0
5741,81.176285,-49.664815000000004,0
33666,8.097593,-5.619764,0
4390,93.383672,-43.69163,0
9654,312.767454,-42.471498,1
12286,13.999460000000001,-50.811116,0
38078,53.542451,-17.565873999999997,1
4997,358.877051,-56.234313,1
22528,43.856196000000004,-19.870952,1
19778,336.029014,-46.034102000000004,0
38390,0.536621,-52.888351,1
32066,324.38081,-55.775676000000004,0
10341,94.069965,-48.413675,1
1750,9.969391,-44.488682,1
16210,321.373342,-61.015024,0
3807,55.07481800000001,-40.813718,1
15342,64.177429,-56.04845699999999,1
8178,87.00742,-32.339417,1
30225,89.612669,-33.274718,0
11372,42.204814,-8.4355,1
19765,65.625695,-25.814727,0
1875,27.211017,-2.996611,0
38921,28.009207,-8.207996000000001,1
9220,328.571838,-41.47481,1
38200,79.50112899999998,-45.05294,1
13962,83.03656699999998,-31.233449,0
11310,65.886873,-31.202742,0
33441,86.502309,-35.876406,1
34288,8.824461999999999,2.551095,0
5956,307.07216800000003,-59.322073,0
1624,75.29830600000001,-38.594058000000004,1
2923,55.042426,-34.446459000000004,0
29299,56.296358,-46.83490000000001,0
31302,307.235044,-41.884349,1
26196,41.831994,-28.049061,1
19988,23.526463,-34.226171,1
3566,79.124031,-38.346766,0
28577,76.04663199999999,-35.688128000000006,0
29466,347.99582200000003,-0.593784,0
19702,20.577576999999998,-2.118834,1
33688,52.953192,-35.582602,1
36207,331.22687,-53.537485,1
763,31.598041,-22.415695,0
8063,329.081948,-0.20202,0
38840,339.09315699999996,-47.15953,1
7212,24.790319,-43.363671000000004,0
27835,81.507494,-53.607031000000006,0
25381,16.620796,-42.076366,0
18596,332.205869,-46.765267,1
9709,96.627059,-54.343525,1
20112,44.001257,-54.58093,0
36156,36.953334000000005,-18.16402,1
13969,68.360261,-25.728765,0
25749,72.366496,-35.849101,0
4972,320.457201,-47.719941999999996,1
15505,83.825479,-23.232367,0
4478,35.987489000000004,-51.767015,0
19044,49.231889,-41.117258,0
30998,16.632431,-41.420415000000006,0
7272,47.983422999999995,-45.107738,1
16838,34.748327,4.973565,0
233,45.144584,-18.522153,0
10051,21.368397,1.857173,1
25407,357.381214,1.652869,1
13648,345.366622,-41.338467,1
19024,2.2636130000000003,-39.601153000000004,1
2959,83.395674,-22.192854,1
11914,75.791399,-43.290448,0
17637,67.754866,-63.44941600000001,1
23403,88.808059,-49.189852,1
30047,69.986395,-44.547893,1
18252,24.673359,-16.336334,0
29977,69.809742,-43.124278000000004,0
20908,15.957323,-62.955923,0
4540,20.567217000000003,-2.195452,0
29406,330.668683,-54.096231,0
31587,359.239192,-60.391555000000004,0
1634,39.256039,-56.501251,1
39737,92.76393,-36.06946,1
17331,6.131307,-32.488862,1
31152,321.814657,0.187006,1
29149,18.474864999999998,2.1251279999999997,1
23970,339.98900299999997,-63.682377,0
7843,13.950802,-62.715416000000005,0
16615,52.805862,-18.679691000000002,0
22134,342.27299,-58.757191000000006,0
18034,44.355097,-28.229839000000002,0
15231,69.05230399999999,-21.13524,0
24493,321.486823,-57.278962,0
3955,355.093116,-51.296543,0
34033,4.219749,-32.134143,1
21839,22.854699,-51.077277,0
24894,38.833731,2.502955,1
13298,33.534556,-39.315832,1
21494,34.654283,-4.548296,0
1754,314.705311,-52.769527000000004,0
25901,88.142634,-39.923254,1
27085,66.383375,-42.416806,1
23527,326.99944,0.8547939999999999,0
24866,6.68354,-42.164928,0
38731,65.335437,-62.53014399999999,1
32488,19.331234,-40.760127000000004,0
22937,10.00863,3.1505,1
28368,87.883023,-32.235735,0
33648,6.607168,-2.578383,0
14873,36.514990000000004,-37.414905,0
27966,81.628279,-39.917035,1
18980,40.873591,-48.634217,0
25755,325.00762000000003,-46.994529,0
35209,349.249518,-0.47851499999999997,1
17327,80.085307,-61.620789,0
3464,74.747804,-51.920323,0
19308,8.954242,-22.437819,1
4799,43.885228000000005,-9.323062,1
19722,318.833939,-52.321644,1
19118,39.182077,-46.710891,1
8242,359.993056,-37.196731,0
30780,22.446718,-25.433794,1
16132,65.93240399999999,-58.738991000000006,0
26868,324.878772,-46.614485,0
7729,306.03591,-54.343943,0
24850,78.764482,-47.424023999999996,1
8261,18.932494000000002,0.709626,1
24694,71.15578099999998,-55.664967000000004,0
185,3.2977540000000003,-59.016158999999995,1
18401,79.813131,-52.179191,0
2223,308.259499,-41.268543,0
18594,20.534878,0.802497,1
39320,0.14622000000000002,1.621493,1
9212,91.438434,-36.598411,1
3284,18.144976,-25.13577,1
19404,334.636829,-43.000717,0
3971,25.357339,-61.316219999999994,1
9784,28.539523,-0.6814060000000001,1
22797,28.957058,-16.831471,1
32776,30.949578999999996,-13.637654000000001,0
34018,1.3505049999999998,-42.486717,0
33497,36.601212,-15.214972,0
37261,332.916085,-44.848906,0
35730,41.054624,-7.175389,1
22659,17.859354999999997,-44.20082,0
14113,344.337984,-50.007204,0
21930,68.272674,-43.640648,0
25997,357.107998,-59.100925,1
12158,26.053169,-12.826749000000001,0
23554,31.603340999999997,3.6977,1
21814,7.532238,-50.371204,1
23355,83.498052,-48.045242,0
36369,14.986158999999999,-0.9295620000000001,1
29277,65.148969,-46.096534000000005,1
17673,21.426328,-34.827518999999995,0
25504,53.257338,-16.904823999999998,1
35431,16.607955999999998,-34.204671999999995,0
32908,15.505385,-33.117538,0
2075,346.88231099999996,0.9667399999999999,1
5857,28.277839,-58.288095999999996,1
3182,18.30768,-52.66212,0
18366,324.380237,-55.777362,0
38672,91.490611,-55.733477,0
6734,32.182795,-15.539335000000001,0
29556,306.841642,-50.030526,1
10983,21.6332,-27.862764000000002,1
3656,68.462171,-61.326485999999996,1
20882,61.30184200000001,-66.065066,1
20552,64.930073,-22.839505,0
25000,48.452767,-40.705529999999996,1
33277,23.604193,3.778974,1
21182,70.223078,-25.272378,1
2113,326.98334900000003,0.395583,0
2711,12.523463000000001,-3.562985,0
5002,9.777974,-56.488776,0
32315,38.898154,1.361882,0
22818,352.77506800000003,-60.921327000000005,0
1076,354.609996,-47.486897,1
11168,74.879436,-64.040077,0
6532,1.846071,1.0189540000000001,1
19459,96.625185,-49.135807,0
30400,306.641955,-50.427243,1
30050,36.309513,-17.370226000000002,0
14614,318.27229900000003,-59.666537,0
27413,30.088033000000003,-28.78378,1
1373,65.11466300000001,-62.874215,0
14601,349.747789,0.3091,1
19277,70.468724,-42.220455,0
7446,53.255024,-56.971989,0
33417,343.713868,-53.991837,0
31910,336.793177,-57.978635,1
39617,18.266019,-18.651889999999998,1
2606,22.835454000000002,-53.72227,0
32159,318.25087,-1.7304659999999998,0
30022,27.180602,-48.664196000000004,0
4310,357.18113,1.5978620000000001,1
8825,333.10767400000003,-54.257468,0
35880,86.243751,-57.173795,0
9729,33.642978,-13.216848,1
10253,315.06051099999996,-47.65283,0
19434,76.589004,-48.083929,1
25102,343.148664,-48.163647,1
19689,20.338435,-20.305193,0
10057,327.827409,-47.72705,0
36115,87.317961,-25.599975,0
4412,321.339771,-1.6627720000000001,0
27047,79.286744,-43.530377,0
20214,330.72606,-51.282316,0
33686,41.652865000000006,-21.596837,0
14659,75.65108199999999,-41.379467,1
15488,89.970489,-28.254276,0
10775,59.80584,-35.394492,1
5021,3.9887120000000005,-2.102292,0
8689,306.903904,-44.467071000000004,0
26551,10.847014,-23.349586,1
25981,84.009679,-18.053335,1
9294,66.055844,-63.563455000000005,0
16564,79.904747,-41.31344,1
22082,9.75756,0.8060609999999999,1
20523,69.75994899999999,-48.648575,0
2981,65.352409,-46.276821000000005,0
39656,38.307762,-58.466861,1
19352,28.110869,-49.281957,1
8105,314.882675,-50.141129,0
4192,25.219078,-25.67898,1
34726,54.009628,-33.563543,0
13205,74.091716,-50.038446,1
9662,91.84060500000001,-41.604547,0
29005,19.776064,-43.025669,0
39501,338.77146899999997,0.6679229999999999,0
13961,67.13346299999999,-61.062964,0
3453,53.695375,-40.652082,1
21190,32.687294,-13.192584,1
9754,95.132001,-58.749577,0
35194,13.360498000000002,-52.163562,1
2463,345.434004,-46.004992,0
35084,95.32648,-58.519314,0
23098,325.297916,-56.92525799999999,1
37123,88.108273,-41.715334000000006,0
7776,6.748645,-2.284837,1
32480,86.09634100000001,-59.662902,1
18578,94.341645,-46.560575,0
35859,80.99085099999998,-55.973431000000005,0
18190,28.524373,-63.831284,0
21970,54.401004,-33.252635,0
23977,61.409611,-35.417008,0
2191,34.538568,-56.628119999999996,1
3662,348.768574,-44.874171999999994,1
12737,313.488829,-40.108844,1
26407,76.83198900000001,-54.411554,0
39507,71.18056999999999,-21.614263,1
24708,354.705066,-47.771776,1
17587,32.000312,-29.301517,0
634,97.322683,-49.397676000000004,0
15439,23.649844,-15.630256,0
32154,32.422262,-64.19493899999999,0
2178,350.01525899999996,-41.824271,1
17357,26.668064,-24.522496,1
5634,77.718463,-24.957923,0
18764,13.724698000000002,-49.405803000000006,1
14654,7.911606,-5.07445,1
15899,54.471539,-25.619174,0
17618,59.744276,-27.383168,0
900,350.907523,-62.044014000000004,1
19616,5.673004,-50.003895,0
38768,41.015453,-36.044923,1
13740,55.700863,-47.539464,0
12407,51.801844,-23.617103,1
27537,92.733024,-39.412569,1
16440,24.656168,-48.87856,0
20142,27.037235,-55.084689000000004,0
23185,318.10504,-46.093393,1
36105,352.25527400000004,-59.17726,1
38496,6.9310079999999985,4.543202,0
16190,34.884278,-63.598453000000006,0
30192,98.80504599999999,-56.95435500000001,1
37150,10.019910000000001,-37.731351000000004,1
33714,330.441123,-2.15996,1
28420,28.017122999999998,-8.419209,1
22469,37.496601,-28.856525,0
14053,324.500116,-1.006459,0
39802,10.072837,1.461349,1
21774,40.569765999999994,-37.726672,1
33187,52.545159,-20.2555,1
36959,12.804554,4.92223,0
21590,13.931979,-1.6390200000000001,1
31984,328.13874,-60.22874100000001,1
18920,16.744803,-26.205236,1
19559,92.69959200000001,-52.088278,0
33111,316.709754,-47.066779,1
16107,77.936399,-24.489766,0
4958,307.371106,-59.161306,0
4933,90.06840799999999,-44.387159000000004,1
11430,22.565875,4.895823,0
7803,60.71037,-37.239197999999995,1
19520,305.260677,-59.03506899999999,0
5211,22.591151,-4.167312,0
20735,9.425285,-56.66343199999999,0
37955,9.010963,-32.588274,1
37786,51.85838,-39.690511,1
38352,36.065817,-16.598968,0
27024,313.659546,-57.094513,1
21133,80.24758100000001,-61.030062,1
24575,356.322813,-41.494701,1
37800,70.749416,-56.201733999999995,1
37609,0.173973,-56.100013,1
3099,317.947545,-1.353713,0
30836,336.896154,-62.52454,0
7186,39.496721,-1.344334,1
1415,312.903303,-60.921579,1
25736,41.189177,-51.613219,1
9665,67.91050200000001,-52.304378,0
34159,38.000852,1.434109,1
23130,13.205060999999999,-30.964828999999998,1
20288,59.746402,-43.349932,1
25497,350.341489,-61.422729000000004,0
20000,316.580634,-48.10658,1
35609,11.6568,-45.55468,1
22549,25.782203,-8.96765,1
2924,336.03751,-59.549442000000006,1
32904,4.177169999999999,-33.66811,1
5902,355.28808,-1.820602,0
17053,349.08703399999996,-42.234968,0
33680,48.464924,-32.028813,0
8792,338.137357,1.618591,1
33211,315.11451600000004,-47.799719,1
21050,66.68829099999999,-62.678747,0
15931,342.569856,-48.78074,0
27843,42.749874,-34.862142999999996,1
35934,54.689085,-35.266298,1
9780,78.674887,-41.628806,0
28407,322.873209,-0.072999,1
6968,68.18875200000001,-33.006019,0
33024,77.92903199999998,-51.338894,0
26472,358.360057,-39.125213,1
2673,39.982890000000005,-16.467959,0
17117,89.45845399999997,-50.319338,0
38325,53.750059,-24.036952,0
29166,85.27982999999998,-59.687983,0
30272,6.718596000000001,-32.339696,0
31212,60.206664,-16.912311,1
19126,67.597664,-22.449489,0
10181,42.998285,-58.488198,0
8465,84.63546099999998,-27.066315000000003,0
34824,55.38661,-61.64480699999999,1
26315,73.436451,-38.125178999999996,1
16581,340.554137,-60.441947,0
19424,342.410838,-0.12796,1
34297,344.347834,-62.37955,0
19331,60.866113,-59.255627000000004,1
7061,35.153926,-36.662029,1
23939,304.26802200000003,-52.405764000000005,0
39343,17.236511,-28.24457,0
18080,25.13699,2.211534,0
5541,343.112643,1.582492,0
9026,67.098788,-53.579432999999995,1
30779,23.510222,-36.651677,1
29113,73.636003,-43.802285,1
23923,71.332718,-17.716533,0
20716,72.712013,-25.367736,0
38592,344.98604500000005,-43.528861,0
36463,343.318559,-60.711698,0
34994,304.36562599999996,-60.490238,0
39436,25.75029,-6.173545,0
7679,53.395194,-15.592985999999998,1
29379,38.272237,-32.029939,0
15905,314.216354,-49.391672,1
5558,35.558336,-37.253514,0
31376,87.213948,-47.286343,1
